Site ID,Site Name,Description,Grid,Latitude,Longitude
80474,Cycle H0474,A647 Bradford Road Cycle Superhighway (eastbound),419893434108,53.8029,-1.69942
80475,Cycle H0475,A647 Bradford Road Cycle Superhighway (westbound),420020434124,53.80304,-1.6975
90120,Cycle I0120,Kirkstall Forge Canal Towpath Cycle Counter,424939436374,53.82305,-1.62262
90241,Cycle I0241,Cardigan Lane Cycle Counter,428226435284,53.81308,-1.57279
90319,Cycle I0319,Stanningley Road Cycle Superhighway (eastbound),424547434443,53.80571,-1.62874
90320,Cycle I0320,Stanningley Road Cycle Superhighway (westbound),424554434430,53.8056,-1.62862
90810,Cycle I0810,Canal Tow Path Armley Mills,427842434043,53.80195,-1.57874
90811,Cycle I0811,Wellington Road Cycle Path,428841433356,53.79572,-1.56364
90814,Cycle I0814,Armley Road Cycle Superhighway,428229433539,53.7974,-1.57291
90816,CYCLE I0816,Wellington Street Eastbound Cycle Lane,429346433484,53.79684,-1.55596
90817,CYCLE I0817,Wellington Street Westbound Cycle Lane,429331433471,53.79673,-1.55618
100122,Cycle J0122,Meanwood Road Cycle Path,430009435530,53.81519,-1.54569
100123,Cycle J0123,Meanwood Road Cycle Counter Sheepscar,430617434731,53.80798,-1.53653
100124,CYCLE J0124,A6120 Ring Road Cycle Superhighway (e of king lane),430173439163,53.84784,-1.54284
100125,CYCLE J0125,A6120 Ring Road Cycle Superhighway (w of birchwood hill),432040439366,53.84955,-1.51445
100126,CYCLE J0126,A6120 Ring Road Cycle Superhighway (e of roundhay park lane),433130439213,53.84811,-1.4979
100217,Cycle J0217,Wykebeck Woods Cycle Path,433768437116,53.82922,-1.48842
100218,Cycle J0218,A64 York Road Cycle Superhighway (killingbeck eastbound),434819434632,53.80683,-1.47273
100219,Cycle J0219,A64 York Road Cycle Superhighway (killingbeck westbound),434974434646,53.80694,-1.47039
100628,Cycle J0628,Grape Street Cycle Counter,430868432228,53.78547,-1.53298
100629,Cycle J0629,Hunslet Road Cycle Counter,430889432259,53.78574,-1.53265
100633,Cycle J0633,Regent Street Cycle Counter (s of gower street),430805433907,53.80056,-1.53377
100634,Cycle J0634,Regent Street Cycle Counter (s of hope road),430840433984,53.80125,-1.53322
100635,Cycle J0635,A64 York Road Cycle Superhighway (burmantofts eastbound),431988433601,53.79774,-1.51583
100636,Cycle J0636,A64 York Road Cycle Superhighway (burmantofts westbound),431988433569,53.79745,-1.51583
100642,CYCLE J0642,St Peters Street Cycle Lane,430752433553,53.79738,-1.5346
100643,CYCLE J0643,Marsh Lane Cycle Route,431109433557,53.7974,-1.52918
170127,CYCLE Q0127,Castleford Greenway Cycle Counter (phase 4),439031425721,53.72644,-1.40991